Table 1
Group,Connectivity Score,Color,,,,
Boston,3.9632350807157573,#10c04b,,,,
Craft Beer,2.9636517467457844,#2a7e9a,,,,
International Beer,4.146794248528991,#680928,,,,
Maine,8.916415450206477,#ffc71b,,,,
New England,7.899538865442411,#7bea0c,,,,
Northeast Craft Beer,2.3390212889436377,#3060bf,,,,
Other,4.66036574067508,#691245,,,,
SM Mktg|Celebrity,5.786470261305049,#402f7e,,,,
Southern Craft Beer,4.27755427636805,#6f3a00,,,,
West|Midwest Beer,2.870980406278515,#3f0b67,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
